2025-11-04 10:18:22.883 [main] INFO  xml.primeraspruebas.controlador.controladorEmpleado - Empleado [identificador=E001, edad=30, nombreApellido=Juan Haro, empresa=OpenAI]
2025-11-04 10:23:49.736 [main] INFO  xml.primeraspruebas.controlador.controladorEmpleado - Empleado [identificador=E001, edad=30, nombreApellido=Juan Haro, empresa=OpenAI]
2025-11-04 10:37:22.863 [main] INFO  xml.primeraspruebas.controlador.controladorEmpleado - Empleado [identificador=E001, edad=30, nombreApellido=Juan Haro, empresa=OpenAI]
2025-11-04 10:37:22.866 [main] INFO  xml.primeraspruebas.controlador.controladorEmpleado - [Empleado [identificador=E001, edad=30, nombreApellido=Juan Haro, empresa=OpenAI], Empleado [identificador=E002, edad=25, nombreApellido=María López, empresa=Google]]
2025-11-04 10:52:00.976 [main] INFO  xml.primerBoletin.controlador.GestionaPelicula - Pelicula [titulo=Gran Torino, director=Wachowski Brothers, anyo=1999]
2025-11-04 10:54:00.281 [main] INFO  xml.primerBoletin.controlador.GestionaPelicula - []
2025-11-04 10:54:49.240 [main] ERROR xml.primerBoletin.DOM.domPelicula - C:\Users\alumno\Desktop\segundo_DAM\acc_datos\acc_datos_orig\src\main\resources\src\main\resources\peliculas.xml (El sistema no puede encontrar la ruta especificada)
2025-11-04 10:54:57.268 [main] INFO  xml.primerBoletin.controlador.GestionaPelicula - []
2025-11-04 10:55:23.176 [main] INFO  xml.primerBoletin.controlador.GestionaPelicula - []
2025-11-04 10:55:37.925 [main] INFO  xml.primerBoletin.controlador.GestionaPelicula - [Pelicula [titulo=Gran Torino, director=Wachowski Brothers, anyo=1999], Pelicula [titulo=The Matrix, director=Wachowski Brothers, anyo=1999], Pelicula [titulo=Titanic, director=James Cameron, anyo=1999], Pelicula [titulo=The Sixth Sense, director=M. Night Shyamalan, anyo=1999], Pelicula [titulo=Tesis, director=Amenabar, anyo=0], Pelicula [titulo=Tesis, director=Amenabar, anyo=0], Pelicula [titulo=Tesis, director=Amenabar, anyo=0]]
2025-11-04 11:41:54.464 [main] INFO  xml.primerBoletin.controlador.GestionaPelicula - [Pelicula [titulo=Gran Torino, director=Wachowski Brothers, anyo=1999], Pelicula [titulo=The Matrix, director=Wachowski Brothers, anyo=1999], Pelicula [titulo=Titanic, director=James Cameron, anyo=1999], Pelicula [titulo=The Sixth Sense, director=M. Night Shyamalan, anyo=1999], Pelicula [titulo=Tesis, director=Amenabar, anyo=0], Pelicula [titulo=Tesis, director=Amenabar, anyo=0], Pelicula [titulo=Tesis, director=Amenabar, anyo=0]]
2025-11-04 11:45:46.338 [main] INFO  xml.primerBoletin.controlador.GestionaPelicula - [Pelicula [titulo=Gran Torino, director=Wachowski Brothers, fecha=1999, actores=[Actor [actor=Clint Eastwood], Actor [actor=Geraldine Hughes], Actor [actor=John Carroll Lynch]]], Pelicula [titulo=The Matrix, director=Wachowski Brothers, fecha=1999, actores=[Actor [actor=Keanu Reeves], Actor [actor=Laurence Fishburne], Actor [actor=Carrie Ann Moss]]], Pelicula [titulo=Titanic, director=James Cameron, fecha=1999, actores=[Actor [actor=Leonardo DiCaprio], Actor [actor=Kate Winslet]]], Pelicula [titulo=The Sixth Sense, director=M. Night Shyamalan, fecha=1999, actores=[Actor [actor=Bruce Willis], Actor [actor=Haley Joel Osment]]], Pelicula [titulo=Tesis, director=Amenabar, fecha=0, actores=[Actor [actor=Ana Torrent], Actor [actor=Fele Martínez]]], Pelicula [titulo=Tesis, director=Amenabar, fecha=0, actores=[Actor [actor=Ana Torrent], Actor [actor=Fele Martínez]]], Pelicula [titulo=Tesis, director=Amenabar, fecha=0, actores=[Actor [actor=Ana Torrent], Actor [actor=Fele Martínez]]]]
