Nombre,Continente,Población,Idioma,Moneda
Argentina,América,46000000,Español,Peso argentino
Brasil,América,214000000,Portugués,Real brasileño
Canadá,América,38000000,"Inglés, Francés",Dólar canadiense
China,Asia,1412000000,Chino mandarín,Yuan
Francia,Europa,67000000,Francés,Euro
India,Asia,1393000000,"Hindi, Inglés",Rupia india
Japón,Asia,125800000,Japonés,Yen
México,América,126000000,Español,Peso mexicano
Nigeria,África,206000000,Inglés,Naira
Sudáfrica,África,60000000,"Inglés, Afrikáans, Zulú",Rand sudafricano
Alemania,Europa,83000000,Alemán,Euro
Australia,Oceanía,26000000,Inglés,Dólar australiano
